Food Title,Author Name,Image URL,Recipe URL
Rava Kakdi Thalipeeth Recipe (Maharashtrian Style Semolina-Cucumber Flatbread),Madhuli Ajay,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/madhulia/Rava_Kakdi_Thalipeeth_Maharashtrian_style_SemolinaCucumber_flatbread_400x320.jpg,https://www.archanaskitchen.com/rava-kakdi-thalipeeth-recipe-maharashtrian-style-semolina-cucumber-flatbread
Roasted Cauliflower Salad With Quinoa & Garlic Yogurt Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Article-2018/Roasted_Cauliflower_Salad_with_Garlic_Yogurt_With_Quinoa_Recipe-6_400x320.jpg,https://www.archanaskitchen.com/roasted-cauliflower-salad-with-quinoa-garlic-yogurt-recipe
Beetroot Rice Recipe - Beetroot Pulao,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/Indian_Rice/Beetroot_Rice_Pulao_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/beetroot-rice
no-title,Malvika Hada,no-image,no-url
Rosemary Mushroom Oatmeal With Fried Eggs,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/World_Main_Course/Rosemary_Mushroom_Oatmeal_with_Fried_Eggs_Recipe-1_400x320.jpg,https://www.archanaskitchen.com/rosemary-mushroom-oatmeal-with-fried-eggs-breakfast-or-dinner
Konkani Style Alasande Randayi Recipe-Black Eyed Beans and Yam Gravy,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/sibyl_sunitha/Konkani_Style_Alsande_Randayi_Recipe_Black_Eyed_Beans_and_Yam_Gravy_400x320.jpg,https://www.archanaskitchen.com/konkani-style-alsande-randayi-recipe-black-eyed-beans-and-yam-gravy
Kaju Karela Recipe - Bitter Gourd And Cashew Nuts Stir Fry,Bela Dholakia,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Bela-Dholakia/Kaju_Karela_Bitter_Gourd_and_Cashew_Stir_Fry_edited_recipe_400x320.jpg,https://www.archanaskitchen.com/kaju-karela-recipe-bitter-gourd-and-cashew-nuts-stir-fry
Gulkand Seviyan Kheer Recipe,Archana's Kitchen,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/sevian_gulkand_kheer_recipe_8_400x320.jpg,https://www.archanaskitchen.com/gulkand-seviyan-kheer-recipe
no-title,Archana Doshi,no-image,no-url
Vegetarian Tom Yum Soup Recipe,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/World_Soups/shutterstock_166496222_400x320.jpg,https://www.archanaskitchen.com/vegetarian-tom-yum-soup-flavoured-with-lemon-grass
Foxtail Millet Lemon Rice Recipe-Elumichai Thenai,Archana Doshi,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/Indian_Rice/Healthy_Vegetarian_Foxtail_Thenai_Millet_lemon_rice_recipe-1_400x320.jpg,https://www.archanaskitchen.com/foxtail-millet-lemon-rice-recipe-thenai-sadam
no-title,Madhumita S,no-image,no-url
no-title,Archana's Kitchen,no-image,no-url
Indian Style Fajitas Recipe,Anitha Balaji,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Anitha_Balaji/Indian_Style_Fajitas_400x320.jpg,https://www.archanaskitchen.com/indian-style-fajitas-recipe
Foxtail Millet Pongal Recipe,Jyothi Rajesh,https://www.archanaskitchen.com/imgcache/images/archanaskitchen/1-Author/Jyothi_Rajesh/Foxtail_Millet_Pongal_400x320.jpg,https://www.archanaskitchen.com/foxtail-millet-pongal-recipe
